time,vmem
2025-03-21 16:24:08,843.9258
2025-03-21 16:24:07,843.9258
2025-03-21 16:24:06,843.9258
2025-03-21 16:24:05,843.9258
2025-03-21 16:24:04,843.9258
2025-03-21 16:24:03,843.9258
2025-03-21 16:24:02,843.9258
2025-03-21 16:24:01,843.9258
2025-03-21 16:24:00,843.9258
2025-03-21 16:23:59,843.9258
2025-03-21 16:23:58,843.9258
2025-03-21 16:23:57,843.9258
2025-03-21 16:23:56,843.9258
2025-03-21 16:23:55,843.9258
2025-03-21 16:23:54,843.9258
2025-03-21 16:23:53,843.9258
2025-03-21 16:23:52,843.9258
2025-03-21 16:23:51,843.9258
2025-03-21 16:23:50,843.9258
2025-03-21 16:23:49,843.9258
2025-03-21 16:23:48,843.9258
2025-03-21 16:23:47,843.9258
2025-03-21 16:23:46,843.9258
2025-03-21 16:23:45,843.9258
2025-03-21 16:23:44,843.9258
2025-03-21 16:23:43,843.9258
2025-03-21 16:23:42,843.9258
2025-03-21 16:23:41,843.9258
2025-03-21 16:23:40,843.9258
2025-03-21 16:23:39,843.9258
2025-03-21 16:23:38,843.9258
2025-03-21 16:23:37,843.9258
2025-03-21 16:23:36,843.9258
2025-03-21 16:23:35,843.9258
2025-03-21 16:23:34,843.9258
2025-03-21 16:23:33,843.9258
2025-03-21 16:23:32,843.9258
2025-03-21 16:23:31,843.9258
2025-03-21 16:23:30,843.9258
2025-03-21 16:23:29,843.9258
2025-03-21 16:23:28,843.9258
2025-03-21 16:23:27,843.9258
2025-03-21 16:23:26,843.9258
2025-03-21 16:23:25,843.9258
2025-03-21 16:23:24,843.9258
2025-03-21 16:23:23,843.9258
2025-03-21 16:23:22,843.9258
2025-03-21 16:23:21,843.9258
2025-03-21 16:23:20,843.9258
2025-03-21 16:23:19,843.9258
2025-03-21 16:23:18,843.9258
2025-03-21 16:23:17,843.9258
2025-03-21 16:23:16,843.9258
2025-03-21 16:23:15,843.9258
2025-03-21 16:23:14,843.9258
2025-03-21 16:23:13,843.9258
2025-03-21 16:23:12,843.9258
2025-03-21 16:23:11,843.9258
2025-03-21 16:23:10,843.9258
2025-03-21 16:23:09,843.9258
2025-03-21 16:23:08,843.9258
2025-03-21 16:23:07,843.9258
2025-03-21 16:23:06,843.9258
2025-03-21 16:23:05,843.9258
2025-03-21 16:23:04,843.9258
2025-03-21 16:23:03,843.9258
2025-03-21 16:23:02,843.9258
2025-03-21 16:23:01,843.9258
2025-03-21 16:23:00,843.9258
2025-03-21 16:22:59,843.9258
2025-03-21 16:22:58,843.9258
