time,swap
2025-03-21 16:24:09,0
2025-03-21 16:24:08,0
2025-03-21 16:24:07,0
2025-03-21 16:24:06,0
2025-03-21 16:24:05,0
2025-03-21 16:24:04,0
2025-03-21 16:24:03,0
2025-03-21 16:24:02,0
2025-03-21 16:24:01,0
2025-03-21 16:24:00,0
2025-03-21 16:23:59,0
2025-03-21 16:23:58,0
2025-03-21 16:23:57,0
2025-03-21 16:23:56,0
2025-03-21 16:23:55,0
2025-03-21 16:23:54,0
2025-03-21 16:23:53,0
2025-03-21 16:23:52,0
2025-03-21 16:23:51,0
2025-03-21 16:23:50,0
2025-03-21 16:23:49,0
2025-03-21 16:23:48,0
2025-03-21 16:23:47,0
2025-03-21 16:23:46,0
2025-03-21 16:23:45,0
2025-03-21 16:23:44,0
2025-03-21 16:23:43,0
2025-03-21 16:23:42,0
2025-03-21 16:23:41,0
2025-03-21 16:23:40,0
2025-03-21 16:23:39,0
2025-03-21 16:23:38,0
2025-03-21 16:23:37,0
2025-03-21 16:23:36,0
2025-03-21 16:23:35,0
2025-03-21 16:23:34,0
2025-03-21 16:23:33,0
2025-03-21 16:23:32,0
2025-03-21 16:23:31,0
2025-03-21 16:23:30,0
2025-03-21 16:23:29,0
2025-03-21 16:23:28,0
2025-03-21 16:23:27,0
2025-03-21 16:23:26,0
2025-03-21 16:23:25,0
2025-03-21 16:23:24,0
2025-03-21 16:23:23,0
2025-03-21 16:23:22,0
2025-03-21 16:23:21,0
2025-03-21 16:23:20,0
2025-03-21 16:23:19,0
2025-03-21 16:23:18,0
2025-03-21 16:23:17,0
2025-03-21 16:23:16,0
2025-03-21 16:23:15,0
2025-03-21 16:23:14,0
2025-03-21 16:23:13,0
2025-03-21 16:23:12,0
2025-03-21 16:23:11,0
2025-03-21 16:23:10,0
2025-03-21 16:23:09,0
2025-03-21 16:23:08,0
2025-03-21 16:23:07,0
2025-03-21 16:23:06,0
2025-03-21 16:23:05,0
2025-03-21 16:23:04,0
2025-03-21 16:23:03,0
2025-03-21 16:23:02,0
2025-03-21 16:23:01,0
2025-03-21 16:23:00,0
2025-03-21 16:22:59,0
