time,processes
2025-03-20 20:57:05,9
2025-03-20 20:57:04,9
2025-03-20 20:57:03,9
2025-03-20 20:57:02,9
2025-03-20 20:57:01,9
2025-03-20 20:57:00,9
2025-03-20 20:56:59,9
2025-03-20 20:56:58,9
2025-03-20 20:56:57,9
2025-03-20 20:56:56,9
2025-03-20 20:56:55,9
2025-03-20 20:56:54,9
2025-03-20 20:56:53,9
2025-03-20 20:56:52,9
2025-03-20 20:56:51,9
2025-03-20 20:56:50,9
2025-03-20 20:56:49,9
2025-03-20 20:56:48,9
2025-03-20 20:56:47,9
2025-03-20 20:56:46,9
2025-03-20 20:56:45,9
2025-03-20 20:56:44,9
2025-03-20 20:56:43,9
2025-03-20 20:56:42,9
2025-03-20 20:56:41,9
2025-03-20 20:56:40,9
2025-03-20 20:56:39,9
2025-03-20 20:56:38,9
2025-03-20 20:56:37,9
2025-03-20 20:56:36,9
2025-03-20 20:56:35,9
2025-03-20 20:56:34,9
2025-03-20 20:56:33,9
2025-03-20 20:56:32,9
2025-03-20 20:56:31,9
2025-03-20 20:56:30,9
2025-03-20 20:56:29,9
2025-03-20 20:56:28,9
2025-03-20 20:56:27,9
2025-03-20 20:56:26,9
2025-03-20 20:56:25,9
2025-03-20 20:56:24,9
2025-03-20 20:56:23,9
2025-03-20 20:56:22,9
2025-03-20 20:56:21,9
2025-03-20 20:56:20,9
2025-03-20 20:56:19,9
2025-03-20 20:56:18,9
2025-03-20 20:56:17,9
2025-03-20 20:56:16,9
2025-03-20 20:56:15,9
2025-03-20 20:56:14,9
2025-03-20 20:56:13,9
2025-03-20 20:56:12,9
2025-03-20 20:56:11,9
2025-03-20 20:56:10,9
2025-03-20 20:56:09,9
2025-03-20 20:56:08,9
2025-03-20 20:56:07,9
2025-03-20 20:56:06,9
2025-03-20 20:56:05,9
